Size of lattice, Number of MC steps, Reduced temperature, Run time (s), TYPE
500x500, 100, 0.500, 634.362402, MPI
500x500, 100, 0.500, 423.093521, MPI
5x5, 5, 0.500, 0.011964, Numba
5x5, 5, 0.500, 0.004820, Numba
5x5, 5, 0.500, 0.003891, Numba
5x5, 5, 0.500, 0.286577, Numba
5x5, 5, 0.500, 0.291036, Numba
5x5, 5, 0.500, 0.003881, Numba
5x5, 5, 0.500, 0.284409, Numba
5x5, 5, 0.500, 1.335849, Numba
5x5, 5, 0.500, 1.123550, Numba
5x5, 5, 0.500, 1.034013, Numba
5x5, 5, 0.500, 1.309083, Numba
50x50, 100, 0.500, 2.967266, Numba
50x50, 100, 0.500, 3.585568, Numba
50x50, 100, 0.500, 3.304667, Numba
50x50, 100, 0.500, 2.470297, Numba
50x50, 50, 0.500, 2.872722, MPI
5x5, 5, 0.500, 0.008789, Numpy_Random
5x5, 5, 0.500, 0.008781, Numpy_Random
5x5, 100, 0.500, 0.184564, Numpy_Random
5x5, 100, 0.500, 0.205516, Numpy_Random
5x5, 100, 0.500, 0.121115, Original
5x5, 100, 0.500, 0.120441, Original
5x5, 100, 0.500, 0.150805, Original
5x5, 100, 0.500, 0.167097, Numpy_Random
5x5, 100, 0.500, 0.167119, Numpy_Random
50x50, 100, 0.200, 11.663870, Numpy_Random
50x50, 200, 0.200, 23.424297, Numpy_Random
50x50, 250, 0.200, 29.104818, Numpy_Random
50x50, 1000, 0.200, 120.047103, Numpy_Random
20x20, 1000, 0.200, 17.491241, Numpy_Random
20x20, 1000, 0.300, 19.058423, Numpy_Random
20x20, 1000, 0.300, 19.165965, Numpy_Random
20x20, 1000, 0.300, 16.578936, Numpy_Random
20x20, 1000, 0.300, 18.664957, Numpy_Random
20x20, 1000, 0.300, 18.152292, Numpy_Random
20x20, 1000, 0.300, 20.648634, Numpy_Random
20x20, 1000, 0.300, 16.155323, Numpy_Random
20x20, 1000, 0.300, 3.427148, Numpy_Random
20x20, 1000, 0.300, 16.471729, Numpy_Random
20x20, 1000, 0.300, 13.740636, Original
20x20, 1000, 0.300, 19.768516, Numpy_Random
20x20, 1000, 0.300, 19.404593, Numpy_Random
20x20, 1000, 0.300, 3.973663, Numpy_Random
20x20, 1000, 0.300, 16.861887, Numpy_Random
20x20, 1000, 0.300, 18.087308, Numpy_Random
20x20, 1000, 0.300, 20.574315, Numpy_Random
20x20, 1000, 0.300, 19.417247, Numpy_Random
